                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 8.0871,                 74.306,                 2.0808,                      0,                      0,                      0,                      0,                 6.9165,                 42.186,                 1.9559,                      0,                      0,                      0
                      2,                 8.9978,                 84.503,                 2.1721,                      0,                      0,                      0,                      0,                 6.8479,                 42.106,                 1.9692,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                  7.586,                 44.478,                 2.0513,                      0,                      0,                      0,                      0,                 6.6896,                 41.303,                 1.9288,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 7.7692,                 49.147,                 2.2508,                      0,                      0,                      0,                      0,                 6.3643,                 39.838,                 1.8814,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 5.1405,                 29.626,                 1.6612,                      0,                      0,                      0,                      0,                 5.2663,                 35.784,                 1.8258,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 5.9021,                 25.714,                   1.83,                      0,                      0,                      0,                      0,                 3.8943,                 32.322,                 1.7789,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 4.0714,                 24.605,                 1.5877,                      0,                      0,                      0,                      0,                 3.6897,                 32.154,                 1.7804,             0.00011287,             0.00011287,             0.00011287
                      8,                 5.5431,                 32.725,                 1.7345,                      0,                      0,                      0,                      0,                 5.2931,                 36.195,                 1.8315,              0.0001303,              0.0001303,              0.0001303
                      9,                  5.991,                 34.571,                 1.8129,                      0,                      0,                      0,                      0,                 6.5446,                 40.614,                 1.8778,             0.00014733,             0.00014733,             0.00014733
                     10,                 6.2268,                 38.558,                 1.7505,                      0,                      0,                      0,                      0,                 6.7521,                 41.605,                 1.8341,             0.00016396,             0.00016396,             0.00016396
                     11,                 4.6289,                 24.131,                 1.5434,                      0,                      0,                      0,                      0,                 6.5489,                 42.169,                 1.8397,              0.0001802,              0.0001802,              0.0001802
                     12,                 5.4239,                 36.954,                 1.7471,                      0,                      0,                      0,                      0,                 5.9799,                 42.176,                  1.874,             0.00019604,             0.00019604,             0.00019604
                     13,                 4.4965,                 34.932,                 1.6677,                      0,                      0,                      0,                      0,                 5.6776,                 42.422,                  1.912,             0.00021149,             0.00021149,             0.00021149
                     14,                 5.4089,                  24.38,                 1.6935,                      0,                      0,                      0,                      0,                 5.3328,                 42.756,                  1.957,             0.00022654,             0.00022654,             0.00022654
                     15,                 4.9363,                 20.505,                  1.645,                      0,                      0,                      0,                      0,                 5.3087,                 43.539,                 1.9709,             0.00024119,             0.00024119,             0.00024119
                     16,                 5.8233,                 27.823,                 1.7228,                      0,                      0,                      0,                      0,                 5.3461,                 44.471,                 1.9737,             0.00025545,             0.00025545,             0.00025545
                     17,                 4.6112,                 30.656,                 1.6743,                      0,                      0,                      0,                      0,                 4.9728,                 44.243,                 1.9251,             0.00026931,             0.00026931,             0.00026931
                     18,                 4.0125,                 19.469,                 1.7505,                      0,                      0,                      0,                      0,                 4.9728,                 44.243,                 1.9251,             0.00028278,             0.00028278,             0.00028278
                     19,                 4.2133,                 22.415,                 1.7161,                      0,                      0,                      0,                      0,                 4.2849,                 44.303,                 1.9465,             0.00029585,             0.00029585,             0.00029585
                     20,                 4.4573,                 16.643,                 1.6435,                      0,                      0,                      0,                      0,                 4.2849,                 44.303,                 1.9465,             0.00030852,             0.00030852,             0.00030852
                     21,                 4.0617,                 36.043,                 1.8225,                      0,                      0,                      0,                      0,                 3.7014,                  44.24,                 1.9304,              0.0003208,              0.0003208,              0.0003208
                     22,                 4.0842,                 18.735,                 1.7842,                      0,                      0,                      0,                      0,                 3.7014,                  44.24,                 1.9304,             0.00033268,             0.00033268,             0.00033268
                     23,                 5.2537,                 28.808,                 1.6384,                      0,                      0,                      0,                      0,                  2.642,                 43.308,                 1.5587,             0.00034417,             0.00034417,             0.00034417
                     24,                 4.5141,                 25.429,                    1.6,                      0,                      0,                      0,                      0,                  2.642,                 43.308,                 1.5587,             0.00035526,             0.00035526,             0.00035526
                     25,                 5.7614,                 22.473,                 1.6279,                      0,                      0,                      0,                      0,                 3.0274,                 42.911,                 1.4721,             0.00036595,             0.00036595,             0.00036595
                     26,                 4.8201,                 28.337,                 1.6799,                      0,                      0,                      0,                      0,                 3.0274,                 42.911,                 1.4721,             0.00037625,             0.00037625,             0.00037625
